testType,requestBytes,responseBytes,executionNanos
CORBA,16,1048576,5655105
CORBA,16,1048576,4807629
CORBA,16,1048576,10132738
CORBA,16,1048576,6574095
CORBA,16,1048576,4752528
CORBA,16,1048576,6017405
CORBA,16,1048576,6059672
CORBA,16,1048576,4938455
CORBA,16,1048576,5911048
CORBA,16,1048576,5350099
CORBA,16,1048576,5817308
CORBA,16,1048576,4826165
CORBA,16,1048576,10083274
CORBA,16,1048576,5625962
CORBA,16,1048576,4891984
CORBA,16,1048576,5257352
CORBA,16,1048576,6008117
CORBA,16,1048576,5795213
CORBA,16,1048576,6860142
CORBA,16,1048576,7140177
CORBA,16,1048576,12277834
CORBA,16,1048576,5198663
CORBA,16,1048576,4987242
CORBA,16,1048576,8593142
CORBA,16,1048576,6516630
CORBA,16,1048576,5070395
CORBA,16,1048576,4975168
CORBA,16,1048576,6106422
CORBA,16,1048576,6090056
CORBA,16,1048576,6123419
CORBA,16,1048576,7136711
CORBA,16,1048576,4708515
CORBA,16,1048576,4765292
CORBA,16,1048576,4700442
CORBA,16,1048576,9999728
CORBA,16,1048576,6475194
CORBA,16,1048576,5162484
CORBA,16,1048576,6770864
CORBA,16,1048576,4596306
CORBA,16,1048576,4833861
CORBA,16,1048576,5877902
CORBA,16,1048576,5426936
CORBA,16,1048576,4786708
CORBA,16,1048576,5045326
CORBA,16,1048576,5174261
CORBA,16,1048576,5681731
CORBA,16,1048576,5646105
CORBA,16,1048576,6628757
CORBA,16,1048576,5053234
CORBA,16,1048576,5005461
CORBA,16,1048576,5524473
CORBA,16,1048576,5943509
CORBA,16,1048576,6130057
CORBA,16,1048576,5515385
CORBA,16,1048576,5258954
CORBA,16,1048576,5164924
CORBA,16,1048576,5382076
CORBA,16,1048576,5558455
CORBA,16,1048576,5045031
CORBA,16,1048576,9391574
CORBA,16,1048576,8973783
CORBA,16,1048576,5590788
CORBA,16,1048576,5134979
CORBA,16,1048576,4846099
CORBA,16,1048576,4835670
CORBA,16,1048576,4850727
CORBA,16,1048576,4812746
CORBA,16,1048576,4948820
CORBA,16,1048576,5891461
CORBA,16,1048576,5364731
CORBA,16,1048576,9154119
CORBA,16,1048576,6848536
CORBA,16,1048576,4789796
CORBA,16,1048576,4667301
CORBA,16,1048576,4773926
CORBA,16,1048576,7338063
CORBA,16,1048576,4854885
CORBA,16,1048576,4655290
CORBA,16,1048576,5366057
CORBA,16,1048576,5715990
CORBA,16,1048576,5902816
CORBA,16,1048576,6166925
CORBA,16,1048576,5897138
CORBA,16,1048576,6418814
CORBA,16,1048576,5189339
CORBA,16,1048576,5034083
CORBA,16,1048576,5841931
CORBA,16,1048576,4676907
CORBA,16,1048576,7059641
CORBA,16,1048576,5483112
CORBA,16,1048576,5875109
CORBA,16,1048576,6267557
CORBA,16,1048576,6330607
CORBA,16,1048576,6718551
CORBA,16,1048576,4891380
CORBA,16,1048576,4819414
CORBA,16,1048576,4960453
CORBA,16,1048576,8041142
CORBA,16,1048576,8560234
CORBA,16,1048576,4762708
CORBA,16,1048576,4735919
CORBA,16,1048576,4634577
CORBA,16,1048576,4587895
CORBA,16,1048576,4667286
CORBA,16,1048576,5046465
CORBA,16,1048576,4927747
CORBA,16,1048576,9673914
CORBA,16,1048576,6861076
CORBA,16,1048576,5129063
CORBA,16,1048576,4913151
CORBA,16,1048576,4809762
CORBA,16,1048576,4612097
CORBA,16,1048576,4858426
CORBA,16,1048576,7007266
CORBA,16,1048576,6075379
CORBA,16,1048576,4601189
CORBA,16,1048576,4702807
CORBA,16,1048576,4565028
CORBA,16,1048576,4731038
CORBA,16,1048576,4627599
CORBA,16,1048576,7101573
CORBA,16,1048576,5529707
CORBA,16,1048576,5286540
CORBA,16,1048576,7978612
CORBA,16,1048576,6409260
CORBA,16,1048576,5538766
CORBA,16,1048576,7098700
CORBA,16,1048576,5391330
CORBA,16,1048576,5435818
CORBA,16,1048576,6538253
CORBA,16,1048576,6303556
CORBA,16,1048576,7011263
CORBA,16,1048576,4972759
CORBA,16,1048576,4882324
CORBA,16,1048576,9215535
CORBA,16,1048576,5365873
CORBA,16,1048576,4575451
CORBA,16,1048576,4614124
CORBA,16,1048576,4847388
CORBA,16,1048576,7217975
CORBA,16,1048576,5996914
CORBA,16,1048576,5821730
CORBA,16,1048576,5552891
CORBA,16,1048576,4824267
CORBA,16,1048576,5002362
CORBA,16,1048576,5730567
CORBA,16,1048576,5725324
CORBA,16,1048576,4984608
CORBA,16,1048576,4915749
CORBA,16,1048576,4792018
CORBA,16,1048576,5048823
CORBA,16,1048576,5642068
CORBA,16,1048576,4771685
CORBA,16,1048576,4577914
CORBA,16,1048576,5617574
CORBA,16,1048576,6430250
CORBA,16,1048576,5382400
CORBA,16,1048576,4736384
CORBA,16,1048576,4959034
CORBA,16,1048576,4592729
CORBA,16,1048576,4748306
CORBA,16,1048576,5647430
CORBA,16,1048576,7091409
CORBA,16,1048576,5351486
CORBA,16,1048576,5154421
CORBA,16,1048576,4621164
CORBA,16,1048576,4810309
CORBA,16,1048576,4831062
CORBA,16,1048576,4859678
CORBA,16,1048576,4778723
CORBA,16,1048576,4917541
CORBA,16,1048576,7373117
CORBA,16,1048576,8862179
CORBA,16,1048576,5387047
CORBA,16,1048576,6168194
CORBA,16,1048576,5895897
CORBA,16,1048576,4639981
CORBA,16,1048576,4850880
CORBA,16,1048576,4934069
CORBA,16,1048576,5483161
CORBA,16,1048576,4909283
CORBA,16,1048576,5049250
CORBA,16,1048576,5819142
CORBA,16,1048576,5343453
CORBA,16,1048576,6303086
CORBA,16,1048576,4903369
CORBA,16,1048576,5053150
CORBA,16,1048576,5126559
CORBA,16,1048576,5196413
CORBA,16,1048576,4624066
CORBA,16,1048576,4955613
CORBA,16,1048576,6187451
CORBA,16,1048576,7844244
CORBA,16,1048576,7247702
CORBA,16,1048576,4764631
CORBA,16,1048576,4703872
CORBA,16,1048576,5340430
CORBA,16,1048576,5142416
CORBA,16,1048576,8185293
CORBA,16,1048576,5129719
CORBA,16,1048576,7009968
CORBA,16,1048576,4737185
CORBA,16,1048576,5529214
CORBA,16,1048576,5505404
CORBA,16,1048576,5368592
CORBA,16,1048576,6069496
CORBA,16,1048576,6656406
CORBA,16,1048576,6494638
CORBA,16,1048576,8439915
CORBA,16,1048576,8693363
CORBA,16,1048576,4608875
CORBA,16,1048576,4681336
CORBA,16,1048576,4606103
CORBA,16,1048576,4646628
CORBA,16,1048576,4700430
CORBA,16,1048576,4684915
CORBA,16,1048576,9999731
CORBA,16,1048576,5706143
CORBA,16,1048576,5989165
CORBA,16,1048576,10363702
CORBA,16,1048576,5014469
CORBA,16,1048576,5201643
CORBA,16,1048576,5150796
CORBA,16,1048576,5291758
CORBA,16,1048576,4933947
CORBA,16,1048576,5093515
CORBA,16,1048576,5791299
CORBA,16,1048576,4777532
CORBA,16,1048576,4579176
CORBA,16,1048576,4777516
CORBA,16,1048576,4892048
CORBA,16,1048576,4887478
CORBA,16,1048576,4787364
CORBA,16,1048576,4946608
CORBA,16,1048576,4619758
CORBA,16,1048576,11845545
CORBA,16,1048576,8318422
CORBA,16,1048576,7058920
CORBA,16,1048576,6971637
CORBA,16,1048576,4677677
CORBA,16,1048576,4751641
CORBA,16,1048576,5646228
CORBA,16,1048576,5323509
CORBA,16,1048576,5418879
CORBA,16,1048576,10400240
CORBA,16,1048576,8044035
CORBA,16,1048576,8469566
CORBA,16,1048576,5143037
CORBA,16,1048576,4893694
CORBA,16,1048576,5042651
CORBA,16,1048576,5120671
CORBA,16,1048576,6163309
CORBA,16,1048576,6689269
CORBA,16,1048576,6480767
CORBA,16,1048576,7560301
CORBA,16,1048576,8382116
CORBA,16,1048576,4919092
CORBA,16,1048576,4644417
CORBA,16,1048576,4857991
CORBA,16,1048576,4724772
CORBA,16,1048576,6462445
CORBA,16,1048576,4659569
CORBA,16,1048576,4851736
CORBA,16,1048576,5573902
CORBA,16,1048576,5542994
CORBA,16,1048576,5118578
CORBA,16,1048576,6220167
CORBA,16,1048576,5682403
CORBA,16,1048576,5915349
CORBA,16,1048576,5803772
CORBA,16,1048576,6125204
CORBA,16,1048576,4866332
CORBA,16,1048576,4871858
CORBA,16,1048576,4505209
CORBA,16,1048576,4954172
CORBA,16,1048576,5175033
CORBA,16,1048576,4720404
CORBA,16,1048576,4605568
CORBA,16,1048576,4716921
CORBA,16,1048576,5472635
CORBA,16,1048576,5198983
CORBA,16,1048576,5210367
CORBA,16,1048576,9048879
CORBA,16,1048576,11188277
CORBA,16,1048576,5774850
CORBA,16,1048576,4726155
CORBA,16,1048576,5016132
CORBA,16,1048576,6299379
CORBA,16,1048576,4770309
CORBA,16,1048576,4813955
CORBA,16,1048576,4748519
CORBA,16,1048576,5175228
CORBA,16,1048576,5198201
CORBA,16,1048576,4945352
CORBA,16,1048576,4591776
CORBA,16,1048576,4553000
CORBA,16,1048576,4570043
CORBA,16,1048576,4616155
CORBA,16,1048576,4539072
CORBA,16,1048576,4526330
CORBA,16,1048576,4576720
CORBA,16,1048576,4556544
CORBA,16,1048576,4558112
CORBA,16,1048576,4793377
CORBA,16,1048576,6419093
CORBA,16,1048576,6441881
CORBA,16,1048576,5022023
CORBA,16,1048576,6678319
CORBA,16,1048576,5473070
CORBA,16,1048576,5067604
CORBA,16,1048576,4916201
CORBA,16,1048576,6034783
CORBA,16,1048576,5891468
CORBA,16,1048576,4508138
CORBA,16,1048576,4960126
CORBA,16,1048576,5463868
CORBA,16,1048576,4942199
CORBA,16,1048576,4901118
CORBA,16,1048576,4871207
CORBA,16,1048576,7297643
CORBA,16,1048576,9128076
CORBA,16,1048576,4763015
CORBA,16,1048576,5227346
CORBA,16,1048576,4568777
CORBA,16,1048576,4599587
CORBA,16,1048576,4640795
CORBA,16,1048576,4605190
CORBA,16,1048576,8382613
CORBA,16,1048576,9161629
CORBA,16,1048576,4654512
CORBA,16,1048576,4946824
CORBA,16,1048576,4595456
CORBA,16,1048576,4808385
CORBA,16,1048576,4587288
CORBA,16,1048576,4731071
CORBA,16,1048576,5344822
CORBA,16,1048576,4807694
CORBA,16,1048576,4865813
CORBA,16,1048576,5046484
CORBA,16,1048576,4495977
CORBA,16,1048576,4685643
CORBA,16,1048576,4470245
CORBA,16,1048576,4662516
CORBA,16,1048576,4542332
CORBA,16,1048576,4714395
CORBA,16,1048576,4658840
CORBA,16,1048576,6017629
CORBA,16,1048576,5993899
CORBA,16,1048576,6214813
CORBA,16,1048576,4748250
CORBA,16,1048576,6521259
CORBA,16,1048576,4713219
CORBA,16,1048576,4687469
CORBA,16,1048576,4885332
CORBA,16,1048576,4955029
CORBA,16,1048576,4839387
CORBA,16,1048576,7622143
CORBA,16,1048576,8624847
CORBA,16,1048576,5066030
CORBA,16,1048576,5434757
CORBA,16,1048576,5396001
CORBA,16,1048576,5929104
CORBA,16,1048576,5922727
CORBA,16,1048576,4783669
CORBA,16,1048576,5343789
CORBA,16,1048576,4890427
CORBA,16,1048576,5005435
CORBA,16,1048576,4461772
CORBA,16,1048576,4692752
CORBA,16,1048576,5964031
CORBA,16,1048576,5806034
CORBA,16,1048576,5463093
CORBA,16,1048576,5202717
CORBA,16,1048576,5077534
CORBA,16,1048576,6328886
CORBA,16,1048576,4575118
CORBA,16,1048576,4747114
CORBA,16,1048576,4568626
CORBA,16,1048576,4693316
CORBA,16,1048576,4588457
CORBA,16,1048576,4705992
CORBA,16,1048576,4545107
CORBA,16,1048576,7146788
CORBA,16,1048576,5502958
CORBA,16,1048576,7872136
CORBA,16,1048576,5216234
CORBA,16,1048576,5597481
CORBA,16,1048576,5390142
CORBA,16,1048576,5718499
CORBA,16,1048576,6190610
CORBA,16,1048576,5818351
CORBA,16,1048576,4776715
CORBA,16,1048576,5572670
CORBA,16,1048576,8380133
CORBA,16,1048576,9241698
CORBA,16,1048576,4749571
CORBA,16,1048576,5467255
CORBA,16,1048576,5607347
CORBA,16,1048576,5475327
CORBA,16,1048576,4692357
CORBA,16,1048576,4849862
CORBA,16,1048576,4890895
CORBA,16,1048576,5913166
CORBA,16,1048576,5183338
CORBA,16,1048576,5550511
CORBA,16,1048576,6323188
CORBA,16,1048576,5917050
CORBA,16,1048576,5742993
CORBA,16,1048576,9481988
CORBA,16,1048576,7010968
CORBA,16,1048576,10480638
CORBA,16,1048576,10310923
CORBA,16,1048576,9070066
CORBA,16,1048576,5470499
CORBA,16,1048576,4803908
CORBA,16,1048576,6333618
CORBA,16,1048576,4797236
CORBA,16,1048576,4779966
CORBA,16,1048576,4749518
CORBA,16,1048576,5232923
CORBA,16,1048576,4855870
CORBA,16,1048576,5149266
CORBA,16,1048576,6625249
CORBA,16,1048576,5115642
CORBA,16,1048576,5233535
CORBA,16,1048576,5472112
CORBA,16,1048576,4868889
CORBA,16,1048576,4773651
CORBA,16,1048576,5726966
CORBA,16,1048576,9191958
CORBA,16,1048576,8401658
CORBA,16,1048576,11427278
CORBA,16,1048576,4940252
CORBA,16,1048576,4877487
CORBA,16,1048576,4902747
CORBA,16,1048576,4927960
CORBA,16,1048576,4873901
CORBA,16,1048576,5583211
CORBA,16,1048576,13695878
CORBA,16,1048576,4993936
CORBA,16,1048576,5269103
CORBA,16,1048576,12482038
CORBA,16,1048576,8884513
CORBA,16,1048576,5295791
CORBA,16,1048576,6894686
CORBA,16,1048576,5114368
CORBA,16,1048576,4764956
CORBA,16,1048576,4696652
CORBA,16,1048576,4935362
CORBA,16,1048576,4728495
CORBA,16,1048576,6095400
CORBA,16,1048576,5990227
CORBA,16,1048576,4948404
CORBA,16,1048576,4819941
CORBA,16,1048576,4707236
CORBA,16,1048576,4561852
CORBA,16,1048576,4735723
CORBA,16,1048576,4554252
CORBA,16,1048576,4785486
CORBA,16,1048576,4770960
CORBA,16,1048576,5982926
CORBA,16,1048576,5967643
CORBA,16,1048576,5276749
CORBA,16,1048576,4783199
CORBA,16,1048576,4663855
CORBA,16,1048576,4662944
CORBA,16,1048576,6706275
CORBA,16,1048576,13406918
CORBA,16,1048576,5574400
CORBA,16,1048576,4728458
CORBA,16,1048576,4731221
CORBA,16,1048576,4822601
CORBA,16,1048576,4708111
CORBA,16,1048576,5586839
CORBA,16,1048576,4823370
CORBA,16,1048576,5601280
CORBA,16,1048576,5601614
CORBA,16,1048576,5770101
CORBA,16,1048576,4817111
CORBA,16,1048576,5082518
CORBA,16,1048576,5783902
CORBA,16,1048576,4876532
CORBA,16,1048576,4915292
CORBA,16,1048576,4944228
CORBA,16,1048576,4907351
CORBA,16,1048576,4892907
CORBA,16,1048576,4817490
CORBA,16,1048576,6130760
CORBA,16,1048576,5832400
CORBA,16,1048576,5240501
CORBA,16,1048576,4698939
CORBA,16,1048576,7579544
CORBA,16,1048576,5441750
CORBA,16,1048576,5987010
CORBA,16,1048576,12475466
