testType,requestBytes,responseBytes,executionNanos
JNI,8192,8192,3454
JNI,8192,8192,8919
JNI,8192,8192,7246
JNI,8192,8192,6678
JNI,8192,8192,6493
JNI,8192,8192,7646
JNI,8192,8192,6194
JNI,8192,8192,5796
JNI,8192,8192,5996
JNI,8192,8192,6276
JNI,8192,8192,5850
JNI,8192,8192,5749
JNI,8192,8192,7901
JNI,8192,8192,5602
JNI,8192,8192,5519
JNI,8192,8192,7937
JNI,8192,8192,9396
JNI,8192,8192,5978
JNI,8192,8192,5872
JNI,8192,8192,8008
JNI,8192,8192,5954
JNI,8192,8192,5914
JNI,8192,8192,6523
JNI,8192,8192,5941
JNI,8192,8192,5497
JNI,8192,8192,5634
JNI,8192,8192,6523
JNI,8192,8192,6065
JNI,8192,8192,7874
JNI,8192,8192,6078
JNI,8192,8192,7614
JNI,8192,8192,5720
JNI,8192,8192,8205
JNI,8192,8192,9239
JNI,8192,8192,7592
JNI,8192,8192,13304
JNI,8192,8192,6221
JNI,8192,8192,5513
JNI,8192,8192,5540
JNI,8192,8192,5318
JNI,8192,8192,7156
JNI,8192,8192,5768
JNI,8192,8192,5292
JNI,8192,8192,6079
JNI,8192,8192,6139
JNI,8192,8192,5626
JNI,8192,8192,6969
JNI,8192,8192,6048
JNI,8192,8192,5082
JNI,8192,8192,5226
JNI,8192,8192,5864
JNI,8192,8192,5105
JNI,8192,8192,5049
JNI,8192,8192,5520
JNI,8192,8192,6679
JNI,8192,8192,5462
JNI,8192,8192,5158
JNI,8192,8192,5311
JNI,8192,8192,5758
JNI,8192,8192,5015
JNI,8192,8192,5323
JNI,8192,8192,8526
JNI,8192,8192,5090
JNI,8192,8192,4913
JNI,8192,8192,5121
JNI,8192,8192,5256
JNI,8192,8192,4955
JNI,8192,8192,5168
JNI,8192,8192,6903
JNI,8192,8192,5373
JNI,8192,8192,5011
JNI,8192,8192,5274
JNI,8192,8192,5210
JNI,8192,8192,5452
JNI,8192,8192,5760
JNI,8192,8192,5822
JNI,8192,8192,4947
JNI,8192,8192,7612
JNI,8192,8192,5125
JNI,8192,8192,5542
JNI,8192,8192,5787
JNI,8192,8192,5064
JNI,8192,8192,6175
JNI,8192,8192,5519
JNI,8192,8192,5224
JNI,8192,8192,5161
JNI,8192,8192,5720
JNI,8192,8192,5941
JNI,8192,8192,11857
JNI,8192,8192,6812
JNI,8192,8192,5668
JNI,8192,8192,5979
JNI,8192,8192,8262
JNI,8192,8192,5606
JNI,8192,8192,5808
JNI,8192,8192,6070
JNI,8192,8192,6838
JNI,8192,8192,5221
JNI,8192,8192,5899
JNI,8192,8192,5493
JNI,8192,8192,5413
JNI,8192,8192,5271
JNI,8192,8192,5386
JNI,8192,8192,6568
JNI,8192,8192,5517
JNI,8192,8192,5369
JNI,8192,8192,5438
JNI,8192,8192,5804
JNI,8192,8192,7883
JNI,8192,8192,5567
JNI,8192,8192,6524
JNI,8192,8192,5321
JNI,8192,8192,5631
JNI,8192,8192,5833
JNI,8192,8192,5424
JNI,8192,8192,5701
JNI,8192,8192,5775
JNI,8192,8192,9447
JNI,8192,8192,7406
JNI,8192,8192,5999
JNI,8192,8192,5640
JNI,8192,8192,5634
JNI,8192,8192,5702
JNI,8192,8192,8227
JNI,8192,8192,5717
JNI,8192,8192,5290
JNI,8192,8192,5467
JNI,8192,8192,6834
JNI,8192,8192,6481
JNI,8192,8192,7099
JNI,8192,8192,6508
JNI,8192,8192,5404
JNI,8192,8192,12388
JNI,8192,8192,7326
JNI,8192,8192,8871
JNI,8192,8192,6531
JNI,8192,8192,9254
JNI,8192,8192,8361
JNI,8192,8192,5443
JNI,8192,8192,5329
JNI,8192,8192,5725
JNI,8192,8192,5530
JNI,8192,8192,5378
JNI,8192,8192,6721
JNI,8192,8192,10464
JNI,8192,8192,5898
JNI,8192,8192,5587
JNI,8192,8192,5406
JNI,8192,8192,5588
JNI,8192,8192,5647
