testType,requestBytes,responseBytes,executionNanos
TCP,1024,16,459767
TCP,1024,16,3597011
TCP,1024,16,184497
TCP,1024,16,392150
TCP,1024,16,573685
TCP,1024,16,461148
TCP,1024,16,365756
TCP,1024,16,394932
TCP,1024,16,483694
TCP,1024,16,292552
TCP,1024,16,321194
TCP,1024,16,388519
TCP,1024,16,501410
TCP,1024,16,391439
TCP,1024,16,427587
TCP,1024,16,472642
TCP,1024,16,371239
TCP,1024,16,665585
TCP,1024,16,398458
TCP,1024,16,370899
TCP,1024,16,425618
TCP,1024,16,417735
TCP,1024,16,1739515
TCP,1024,16,433012
TCP,1024,16,494766
TCP,1024,16,459179
TCP,1024,16,609470
TCP,1024,16,684702
TCP,1024,16,314243
TCP,1024,16,380522
TCP,1024,16,378888
TCP,1024,16,426635
TCP,1024,16,327645
TCP,1024,16,381569
TCP,1024,16,354132
TCP,1024,16,353762
TCP,1024,16,409223
TCP,1024,16,401931
TCP,1024,16,343003
TCP,1024,16,414551
TCP,1024,16,417459
TCP,1024,16,381192
TCP,1024,16,467228
TCP,1024,16,441438
TCP,1024,16,329838
TCP,1024,16,391888
TCP,1024,16,412539
TCP,1024,16,432628
TCP,1024,16,400976
TCP,1024,16,291539
TCP,1024,16,208963
TCP,1024,16,384729
TCP,1024,16,348393
TCP,1024,16,397689
TCP,1024,16,353962
TCP,1024,16,405259
TCP,1024,16,397159
TCP,1024,16,424268
TCP,1024,16,473026
TCP,1024,16,511342
TCP,1024,16,398686
TCP,1024,16,399875
TCP,1024,16,474115
TCP,1024,16,437178
TCP,1024,16,455320
TCP,1024,16,347913
TCP,1024,16,333745
TCP,1024,16,372536
TCP,1024,16,493254
TCP,1024,16,361221
TCP,1024,16,532582
TCP,1024,16,401059
TCP,1024,16,427016
TCP,1024,16,345620
TCP,1024,16,379726
TCP,1024,16,359805
TCP,1024,16,341036
TCP,1024,16,396361
TCP,1024,16,167065
TCP,1024,16,321582
TCP,1024,16,383222
TCP,1024,16,399945
TCP,1024,16,336582
TCP,1024,16,491506
TCP,1024,16,429235
TCP,1024,16,438158
TCP,1024,16,392899
TCP,1024,16,399329
TCP,1024,16,383489
TCP,1024,16,473843
TCP,1024,16,401779
TCP,1024,16,603833
TCP,1024,16,446931
TCP,1024,16,406068
TCP,1024,16,435089
TCP,1024,16,435055
TCP,1024,16,366786
TCP,1024,16,365876
TCP,1024,16,380396
TCP,1024,16,441943
TCP,1024,16,393992
TCP,1024,16,333282
TCP,1024,16,404348
TCP,1024,16,446654
TCP,1024,16,453068
TCP,1024,16,376450
TCP,1024,16,427859
TCP,1024,16,409023
TCP,1024,16,428411
TCP,1024,16,378556
